Name,Artist,Score,Appearances,Likeability
It's Not Living (If It's Not With You),The 1975,16,16,100.0
Bad Boy,BIGBANG,18,18,100.0
Tonight (I Wish I Was Your Boy),The 1975,18,18,100.0
Super Shy,NewJeans,23,24,95.83333333333334
I'm In Love With You,The 1975,21,24,87.5
Slow Dancing in the Dark,JOJI,19,21,90.47619047619048
Ling Ling,The Black Skirts,19,21,90.47619047619048
love.,wave to earth,14,16,87.5
sherlock,oceanfromtheblue,21,24,87.5
About You,The 1975,15,21,71.42857142857143
Forever Has Always Been,Redoor,14,18,77.77777777777779
Gee,SNSD,13,17,76.47058823529412
Let Down,Radiohead,18,22,81.81818181818183
Bubble Gum,NewJeans,14,17,82.35294117647058
odoriko,Vaundy,17,21,80.95238095238095
The Color Violet,Tory Lanez,17,23,73.91304347826086
Soft Spot,keshi,16,21,76.19047619047619
WAR-R-R,Colde,13,20,65.0
lowkey,NIKI,20,28,71.42857142857143
Residuals,Chris Brown,12,18,66.66666666666666
Wedding Dress,Taeyang,12,16,75.0
Beautiful Girls,Sean Kingston,8,11,72.72727272727273
Psycho,Red Velvet,10,13,76.92307692307693
luther,Kendrick Lamar,15,21,71.42857142857143
Sour Grapes,LE SSERAFIM,9,15,60.0
Hype Boy,NewJeans,12,19,63.1578947368421
Flash Forward,LE SSERAFIM,12,18,66.66666666666666
Here With Me,d4vd,14,22,63.63636363636363
Less Than Zero,The Weeknd,11,16,68.75
Let You Break My Heart Again,Laufey,12,17,70.58823529411765
He Gets Me So High,beabadoobee,16,22,72.72727272727273
Bodies,keshi,10,15,66.66666666666666
Pasilyo,Sunkissed Lola,13,20,65.0
Nice Guys,nigahiga,13,19,68.42105263157895
Saturn,SZA,13,21,61.904761904761905
Midsummer Madness,88rising,10,15,66.66666666666666
FXXK IT,BIGBANG,7,11,63.63636363636363
Euphoria,keshi,7,12,58.333333333333336
Low,Flo Rida,10,17,58.82352941176471
Baby,Justin Bieber,10,16,62.5
Bad Boy,Red Velvet,8,13,61.53846153846154
How To Love,Lil Wayne,9,15,60.0
Die For You,The Weeknd,13,22,59.09090909090909
Die For You,JOJI,7,15,46.666666666666664
Feel My Rhythm,Red Velvet,7,15,46.666666666666664
No Surprises,Radiohead,12,19,63.1578947368421
Out of Touch,Daryl Hall & John Oates,8,15,53.333333333333336
Try Again,Jaehyun,9,16,56.25
Make It To The Morning,PARTYNEXTDOOR,9,17,52.94117647058824
Open Arms,SZA,10,20,50.0
Come Inside of My Heart,IV of Spades,5,11,45.45454545454545
My Girl,Mindless Behavior,8,15,53.333333333333336
Nobody Gets Me,SZA,9,17,52.94117647058824
Blue Rain,Redoor,10,20,50.0
Last Friday Night,Katy Perry,7,16,43.75
SOBER,BIGBANG,8,19,42.10526315789473
Smart,LE SSERAFIM,8,16,50.0
Dancing in the Moonlight,Toploader,6,14,42.857142857142854
You Belong With Me,Taylor Swift,7,15,46.666666666666664
Just the Way You Are,Bruno Mars,6,15,40.0
Like,BTS,7,13,53.84615384615385
24,JUNNY,6,15,40.0
Just Like Dat,Psychic Fever,7,18,38.88888888888889
What's Popping,Jack Harlow,6,16,37.5
Rain,Taeyeon,7,15,46.666666666666664
are you sleeping alone again?,bixby,8,19,42.10526315789473
Shoot Me,DAY6,4,14,28.57142857142857
Your Love,The Outfield,7,17,41.17647058823529
ANGEL,keshi,4,14,28.57142857142857
Steal Your Heart,Austin Moon,5,15,33.33333333333333
Crazy Noisy Bizarre town,JOJO,5,15,33.33333333333333
Stop It,B.A.P,7,21,33.33333333333333
Paralyzed,Big Time Rush,7,22,31.818181818181817
No One Thinks About You,ROAR,5,17,29.411764705882355
Happy Xmas (War is Over),John Lennon,6,17,35.294117647058826
Wet the Bed,Chris Brown,4,14,28.57142857142857
Somehow,DAY6,3,11,27.27272727272727
I Can't Handle Change,ROAR,7,24,29.166666666666668
I Loved You,DAY6,5,17,29.411764705882355
Love,Keyshia Cole,6,19,31.57894736842105
distance,bixby,6,20,30.0
I like you,DAY6,4,16,25.0
Hay Ve Day Ben Anh,Duy Manh,3,14,21.428571428571427
Gilded Lily,Cults,5,18,27.77777777777778
Together,beabadoobee,4,16,25.0
EVERYTHING,The Black Skirts,4,19,21.052631578947366
Til I Forget About You,Big Time Rush,5,23,21.73913043478261
Sexting,Bo Burnham,3,16,18.75
Coffee Shop,B.A.P,4,15,26.666666666666668
It's Okay,BTOB,3,16,18.75
Talk to Me,Red Velvet,3,15,20.0
LOSER,BIGBANG,3,16,18.75
Best Tears,The Happy Fits,3,18,16.666666666666664
Don't Run Away,Let It Shine,4,19,21.052631578947366
Everyone Adores You (At Least I Do),Matt Malese,2,17,11.76470588235294
Loverboy,A-Wall,3,18,16.666666666666664
Sweden,Minecraft,2,19,10.526315789473683
Wet Hands,Minecraft,2,17,11.76470588235294
Down,Jay Sean,2,19,10.526315789473683
Goodbye,Bo Burnham,1,19,5.263157894736842
